model_id,cell_name,id,lengthscale,period_length,outputscale,w,noise_prob,Train Model ELPD,Train Mean Model ELPD,Train Pseudo-R2,Test Model ELPD,Test Mean Model ELPD,Test Pseudo-R2
NEUTRAL_16,NEUTRAL,16,0.7386659240641883,463.1062558399708,0.0220856258504234,-0.8022083912960869,0.010000000000000002,-356.5126302766539,-364.1682877809029,0.02102230688701523,-201.70947442724608,-188.32777703747948,-0.07105535678416408
NEUTRAL_17,NEUTRAL,17,0.7341152028162743,360.2285070900022,0.03662608197204346,-1.6255826421525383,0.010000000000000002,-346.1805973512794,-355.658346322901,0.02664846493723727,-206.71346564770076,-190.78159502513043,-0.08350842554006177
NEUTRAL_18,NEUTRAL,18,0.7358830062319772,455.21975360717005,0.017917952298036204,-0.6319562722433458,0.010000000000000002,-232.33160862359247,-239.39083188329886,0.02948827740883453,-109.83364760589782,-108.33270634646493,-0.013854922581114648
NEUTRAL_19,NEUTRAL,19,0.7420954689338615,356.24830466281423,0.07712504312566962,-0.4755593480620943,0.010000000000000002,-439.6366986526376,-445.1053479865492,0.012286191030166704,-192.37072497983206,-194.21226733317957,0.009482111396126536
NEUTRAL_EXTRA_0,NEUTRAL_EXTRA,0,0.7443785058086553,314.3670222262558,3.329015284814499e-05,-1.0797122700475161,0.010000000000000002,-739.3899319750758,-739.1275885174423,-0.00035493663301044975,-190.0761303151611,-190.25319709176864,0.0009306901503586262
NEUTRAL_EXTRA_1,NEUTRAL_EXTRA,1,0.7466204577295915,335.1307049001352,0.016101219680876754,-1.072599102305781,0.010000000000000002,-584.7265971269696,-595.5495793564246,0.018173100283524257,-169.66846367717955,-159.31731228067576,-0.06497191829515514
NEUTRAL_EXTRA_2,NEUTRAL_EXTRA,2,0.7217194072204469,289.71690355308795,0.05683411693787247,-1.526325667585271,0.010000000000000002,-538.7431890246123,-566.7009895831159,0.049334306931544725,-142.93899930631653,-133.34865355091327,-0.07191932951720137
NEUTRAL_EXTRA_3,NEUTRAL_EXTRA,3,0.7406303579159911,311.57566865947933,0.021138239910402933,-0.9122233350939308,0.010000000000000002,-645.7546067389168,-664.1910651462142,0.027757763352686537,-170.60364464609393,-169.9093091282508,-0.004086506627597464
NEUTRAL_EXTRA_4,NEUTRAL_EXTRA,4,0.7452734604424097,285.0970205202174,0.003203237884236748,-1.932128409181804,0.010000000000000002,-616.597343755494,-620.2477603638654,0.005885416831219015,-161.13138390525725,-159.69536737023583,-0.00899222412439915
NEUTRAL_EXTRA_5,NEUTRAL_EXTRA,5,0.7402192381203895,271.75610627500737,0.005614459311454723,-1.2909115132256819,0.010000000000000002,-566.8043459654023,-573.4954632104406,0.01166725401380031,-165.14465837081224,-163.2415781711743,-0.011658060531872572
NEUTRAL_EXTRA_6,NEUTRAL_EXTRA,6,0.7357647779520309,300.9774812416918,0.2739937514197959,-0.2093395249707155,0.010000000000000002,-787.494504604556,-810.5754502681191,0.028474765249710488,-230.55246885855348,-210.70504622208344,-0.09419528859100423
NEUTRAL_EXTRA_7,NEUTRAL_EXTRA,7,0.7443535848243494,295.73940697494044,2.743753566270928e-05,-0.6137180131915829,0.010000000000000002,-835.3991922475382,-835.3318596809595,-8.060576859159063e-05,-204.89240882454143,-204.89648965775308,1.9916559910182485e-05
NEUTRAL_EXTRA_8,NEUTRAL_EXTRA,8,0.7472980705998772,330.2640278092511,0.05069076504034235,-0.9707064663896903,0.010000000000000002,-709.5828627064576,-722.0702739551144,0.017293900190984868,-255.664105206953,-247.28336745820687,-0.033891231079917095
NEUTRAL_EXTRA_9,NEUTRAL_EXTRA,9,0.7443814600495589,325.08496936319955,1.536620936666592e-05,-0.3941505118543047,0.010000000000000002,-694.8811781852107,-693.644512752538,-0.0017828518930615989,-191.96362045361417,-191.10241493822502,-0.004506512990259948
NEUTRAL_EXTRA_10,NEUTRAL_EXTRA,10,0.738723166178373,309.0843404987636,0.10163630568636411,-1.3888952361885387,0.010000000000000002,-655.3512999191755,-683.3538666349777,0.04097813458449362,-272.173328325178,-238.95107277042598,-0.13903371585475366
NEUTRAL_EXTRA_11,NEUTRAL_EXTRA,11,0.7368472495182911,414.8851375794473,0.02899465993209713,-1.5350064415692612,0.010000000000000002,-628.529891463598,-651.0860179121602,0.03464385016421179,-160.41813357735828,-152.79257975684803,-0.049907880557062745
